NOME DO CANTO;NÚMERO;COMPOSITOR;CATEGORIA;TONALIDADE
BENISSEZ LE SEIGNEUR;349;;;
GLÓRIA AO PAI (Glória Peru);350;;TRINDADE;E
GLÓRIA AO PAI (Glória Peru);350;;;
TU ES LE ROI DE GLOIRE;351;;FINAL;
TU ES LE ROI DE GLOIRE;351;;FESTA;
TU ES LE ROI DE GLOIRE;351;;REFRÕES;
TU ES LE ROI DE GLOIRE;351;;;
MEU SENHOR E MEU DEUS;352;;;
CANTICO CELESTE;353;;ENTRADA;
CANTICO CELESTE;353;;;
NA TUA PRESENÇA ;354;;OFERTÓRIO;
NA TUA PRESENÇA;354;;;
LAUDATE DOMINUM;355;;;
TODOS OS POVOS A DEUS ACLAMAI;356;;;
MADRE (Junto a ti Maria);357;;MARIA;D
MADRE (Junto a ti Maria);357;;;
EH MFUMU;358;;OFERTÓRIO;
EH MFUMU;358;;;
JUBILATE DEO;359;;;
CRISTO VIVE (tu me doaste);360;;LOUVOR;
CRISTO VIVE (tu me doaste);360;;;
MAGNIFICAT ANIMA MEA;361;;;
SE ACONTECER UM BARULHO;362;;;
CONFIANCE DU COEUR;363;;;
MARIA MÃE DE TERNURA;364;;MARIA;E
MARIA MÃE DE TERNURA;364;;;
CADA VEZ QUE COMEMOS DESTE PÃO;365;;;
ALELUIA HOJE SE CUMPRE;366;;ALELUIA;
ALELUIA HOJE SE CUMPRE;366;;;
DIANTE DE TI (Deus Poderoso);367;;ADORAÇÃO;
DIANTE DE TI (Deus Poderoso);367;;;
MERCI SEIGNEUR;368;;AÇÃO DE GRAÇAS;
MERCI SEIGNEUR;368;;AGRADECIMENTO;
MERCI SEIGNEUR;368;;REFRÕES;
